230;Ультиматум Борна;2007;Пол Гринграсс;боевик, таинственный фильм, триллер
231;Барри Линдон;1975;Стэнли Кубрик;драма, мелодрама, военный фильм
232;Волшебник страны Оз;1939;Виктор Флеминг;сказка, приключение, комедия
233;День сурка;1993;Гарольд Рэмис;комедия, драма, фэнтези
234;Ненависть;1995;Матьё Кассовиц;драма
235;Восемь с половиной;1963;Федерико Феллини;драма, фэнтези
236;Челюсти;1975;Стивен Спилберг;триллер
237;12 обезьян;1995;Терри Гиллиам;научная фантастика
238;Лучшие годы нашей жизни;1946;Уильям Уайлер;драма
239;Двойная рокировка;2002;Эндрю Лау, Алан Мак;детектив, таинственный фильм
240;Прислуга;2011;Тейт Тейлор;драма
241;Любовное настроение;2000;Вонг Карвай;драма
242;Париж, Техас;1984;Вим Вендерс;драма
243;Битва за Алжир;1966;Джилло Понтекорво;детектив, драма, исторический фильм
244;Красавица и Чудовище;1991;Гэри Трусдейл, Кирк Уайз;мультфильм, мелодрама
245;Собачий полдень;1976;Сидни Люмет;детектив, драма
246;Банды Вассейпура;2012;Анураг Кашьяп;боевик, детектив, драма
247;Пираты Карибского моря: Проклятие «Чёрной жемчужины»;2003;Гор Вербински;приключение, фэнтези, боевик
248;Что случилось с Бэби Джейн?;1962;Олдрич Роберт;драма, триллер
249;Пикей;2014;Раджкумар Хирани;комедия, драма, фэнтези
250;Служанка;2016;Пак Чхан Ук;детектив, драма, таинственный фильм, мелодрама, триллер
